,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,1,Sirius,8.6,2.1,1.71,196.97179955032502
2,3,Alpha Centauri,4.4,1.1,1.2,209.51116500384126
3,12,Altair,17.0,1.8,1.8,152.37175636642996
4,18,Fomalhaut,25.0,1.9,1.8,160.83685394234269
5,52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
6,53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
7,59,Titawin,44.25,1.27,1.48,159.02202111653529
8,67,54 Piscium,36.1,0.76,0.94,235.9037604224493
9,103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.27872675245442
10,104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.13359189999999999,176.04104671648304
11,126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,264.0615700747245
12,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.57813834448314
13,139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
14,143,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294,273.3886765721481
15,147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362013974
16,173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,336.70141347991887
17,200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.8070452617073
18,239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
19,244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256427,178.78094402431125
20,245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284057,307.9647729940028
